,frame,color,hex
1991,600,"(101, 92, 92)",#655c5c
2056,601,"(94, 85, 84)",#5e5554
1901,602,"(94, 86, 86)",#5e5656
1846,603,"(86, 78, 78)",#564e4e
2195,604,"(83, 75, 75)",#534b4b
2144,605,"(49, 48, 40)",#313028
2298,606,"(48, 47, 40)",#302f28
2341,607,"(49, 48, 40)",#313028
257,608,"(48, 47, 40)",#302f28
210,609,"(48, 47, 40)",#302f28
2191,610,"(48, 47, 40)",#302f28
2152,611,"(48, 47, 40)",#302f28
2293,612,"(48, 47, 40)",#302f28
2342,613,"(55, 54, 45)",#37362d
1994,614,"(47, 47, 39)",#2f2f27
2049,615,"(48, 47, 39)",#302f27
1906,616,"(48, 47, 39)",#302f27
1845,617,"(53, 51, 43)",#35332b
358,618,"(49, 48, 40)",#313028
429,619,"(49, 48, 40)",#313028
270,620,"(49, 48, 40)",#313028
199,621,"(49, 48, 40)",#313028
47,622,"(49, 48, 39)",#313027
104,623,"(49, 47, 39)",#312f27
363,624,"(49, 48, 39)",#313027
422,625,"(211, 187, 175)",#d3bbaf
574,626,"(212, 187, 176)",#d4bbb0
529,627,"(58, 46, 51)",#3a2e33
2004,628,"(57, 46, 51)",#392e33
2041,629,"(213, 187, 176)",#d5bbb0
370,630,"(213, 187, 176)",#d5bbb0
419,631,"(215, 190, 178)",#d7beb2
577,632,"(58, 46, 52)",#3a2e34
522,633,"(58, 46, 52)",#3a2e34
264,634,"(213, 187, 176)",#d5bbb0
201,635,"(212, 187, 176)",#d4bbb0
44,636,"(59, 48, 53)",#3b3035
111,637,"(60, 48, 54)",#3c3036
2203,638,"(212, 187, 176)",#d4bbb0
2138,639,"(213, 188, 177)",#d5bcb1
730,640,"(213, 188, 177)",#d5bcb1
679,641,"(62, 49, 55)",#3e3137
820,642,"(212, 187, 177)",#d4bbb1
881,643,"(212, 187, 177)",#d4bbb1
1123,644,"(56, 57, 33)",#383921
1162,645,"(52, 52, 31)",#34341f
1022,646,"(52, 53, 31)",#34351f
973,647,"(52, 53, 31)",#34351f
1266,648,"(52, 53, 31)",#34351f
1315,649,"(63, 64, 37)",#3f4025
1121,650,"(53, 54, 32)",#353620
